"dataset_id","dataset_name","original_code","original_name","standardized_code","standardized_name"
1,"Varieties of Democracy (V-Dem)","LBR","Liberia","LBR","Liberia"
1,"Varieties of Democracy (V-Dem)","MWI","Malawi","MWI","Malawi"
1,"Varieties of Democracy (V-Dem)","MDV","Maldives","MDV","Maldives"
1,"Varieties of Democracy (V-Dem)","MNG","Mongolia","MNG","Mongolia"
1,"Varieties of Democracy (V-Dem)","MAR","Morocco","MAR","Morocco"
1,"Varieties of Democracy (V-Dem)","NLD","Netherlands","NLD","Netherlands"
1,"Varieties of Democracy (V-Dem)","PAN","Panama","PAN","Panama"
1,"Varieties of Democracy (V-Dem)","PNG","Papua New Guinea","PNG","Papua New Guinea"
1,"Varieties of Democracy (V-Dem)","QAT","Qatar","QAT","Qatar"
1,"Varieties of Democracy (V-Dem)","SLE","Sierra Leone","SLE","Sierra Leone"
1,"Varieties of Democracy (V-Dem)","ESP","Spain","ESP","Spain"
1,"Varieties of Democracy (V-Dem)","SYR","Syria","SYR","Syria"
1,"Varieties of Democracy (V-Dem)","TUN","Tunisia","TUN","Tunisia"
1,"Varieties of Democracy (V-Dem)","TUR","Türkiye","TUR","Turkey"
1,"Varieties of Democracy (V-Dem)","UKR","Ukraine","UKR","Ukraine"
1,"Varieties of Democracy (V-Dem)","GBR","United Kingdom","GBR","United Kingdom"
1,"Varieties of Democracy (V-Dem)","URY","Uruguay","URY","Uruguay"
1,"Varieties of Democracy (V-Dem)","DZA","Algeria","DZA","Algeria"
1,"Varieties of Democracy (V-Dem)","AGO","Angola","AGO","Angola"
1,"Varieties of Democracy (V-Dem)","ARM","Armenia","ARM","Armenia"
1,"Varieties of Democracy (V-Dem)","AZE","Azerbaijan","AZE","Azerbaijan"
1,"Varieties of Democracy (V-Dem)","BLR","Belarus","BLR","Belarus"
1,"Varieties of Democracy (V-Dem)","CMR","Cameroon","CMR","Cameroon"
1,"Varieties of Democracy (V-Dem)","TCD","Chad","TCD","Chad"
1,"Varieties of Democracy (V-Dem)","CHN","China","CHN","China"
1,"Varieties of Democracy (V-Dem)","COD","Democratic Republic of the Congo","COD","Congo (Kinshasa)"
1,"Varieties of Democracy (V-Dem)","COG","Republic of the Congo","COG","Congo - Brazzaville"
1,"Varieties of Democracy (V-Dem)","DJI","Djibouti","DJI","Djibouti"
1,"Varieties of Democracy (V-Dem)","DOM","Dominican Republic","DOM","Dominican Republic"
1,"Varieties of Democracy (V-Dem)","ERI","Eritrea","ERI","Eritrea"
