"dataset_id","dataset_name","original_code","original_name","reason"
3,"Sustainable Development Goals (SDG)",NA,"Low-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Low-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Low-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Low-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Low-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Low-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Low-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Low-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Low-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower & Lower-middle Income","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower & Lower-middle Income","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower & Lower-middle Income","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower & Lower-middle Income","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower & Lower-middle Income","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower & Lower-middle Income","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower & Lower-middle Income","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower & Lower-middle Income","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower & Lower-middle Income","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower & Lower-middle Income","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Lower-middle-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Middle East and North Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Middle East and North Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Middle East and North Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Middle East and North Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Middle East and North Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Middle East and North Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Middle East and North Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Middle East and North Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Middle East and North Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Middle East and North Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"OECD members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"OECD members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"OECD members","Could not map country name to standard code"
