"term","estimate","std.error","statistic","p.value","outcome","category"
"change_categoryLarge backsliding",0.0162639791153916,0.0101821472678882,1.59730346531953,0.112088537839051,"prop_miss_SDG13","Large backsliding"
"change_categoryModerate democratization",-0.00409334136029276,0.00753552221884425,-0.543206063417403,0.587712246600172,"prop_miss_SDG13","Moderate democratization"
"change_categoryLarge democratization",0.0148736889702824,0.0135195681859957,1.10016006174586,0.272845711895195,"prop_miss_SDG13","Large democratization"
"change_categoryModerate backsliding",0.0117034923900299,0.0100399685578119,1.16569014361341,0.245401927324805,"prop_miss_SDG14","Moderate backsliding"
"change_categoryLarge backsliding",-0.025397230322676,0.0255445637671224,-0.994232297494309,0.321548182880465,"prop_miss_SDG14","Large backsliding"
"change_categoryModerate democratization",0.0106454785867171,0.0118711301313208,0.896753592029967,0.371141307666153,"prop_miss_SDG14","Moderate democratization"
"change_categoryLarge democratization",-0.0334166169801851,0.0273463364734623,-1.22197783284842,0.223438030721357,"prop_miss_SDG14","Large democratization"
"change_categoryModerate backsliding",0.00663053481242682,0.00431928825803904,1.53509893674869,0.126651906686831,"prop_miss_SDG15","Moderate backsliding"
"change_categoryLarge backsliding",0.000781491843218154,0.00886010277246284,0.0882034738521349,0.929820637186577,"prop_miss_SDG15","Large backsliding"
"change_categoryModerate democratization",0.00652479431267895,0.00551892277766302,1.18225867176237,0.238783672679206,"prop_miss_SDG15","Moderate democratization"
"change_categoryLarge democratization",0.00525026742426661,0.0072293537917922,0.726242977654166,0.4687064717816,"prop_miss_SDG15","Large democratization"
"change_categoryModerate backsliding",-0.00296416282055024,0.00913719554381254,-0.324406192943686,0.746036508650264,"prop_miss_SDG16","Moderate backsliding"
"change_categoryLarge backsliding",0.00339715760598704,0.0194721961246443,0.17446196537059,0.861713740172903,"prop_miss_SDG16","Large backsliding"
"change_categoryModerate democratization",0.00395059522173793,0.0109791007787738,0.359828669154374,0.71942989251041,"prop_miss_SDG16","Moderate democratization"
"change_categoryLarge democratization",-0.00210105584117068,0.0166162754030959,-0.126445655852527,0.899531272421949,"prop_miss_SDG16","Large democratization"
"change_categoryModerate backsliding",0.00684105741485273,0.0047241911863808,1.4480907196505,0.149466511547012,"prop_miss_SDG17","Moderate backsliding"
"change_categoryLarge backsliding",0.018416012716905,0.0072175315754454,2.55156662972667,0.0116212275414404,"prop_miss_SDG17","Large backsliding"
"change_categoryModerate democratization",-0.0090028117821577,0.00589990864413148,-1.5259239295362,0.128920455971744,"prop_miss_SDG17","Moderate democratization"
"change_categoryLarge democratization",0.00848575109447114,0.00998299190199712,0.850020833210688,0.396530498220433,"prop_miss_SDG17","Large democratization"
