"term","estimate","std.error","statistic","p.value","outcome"
"backsliding",0.0605705867572804,0.0292988143632546,2.06733917647008,0.0402449400745559,"prop_sdg_missing"
"democratization",0.0267056503785929,0.0328272443947503,0.813520929672171,0.417077822291582,"prop_sdg_missing"
"backsliding",0.0890402303479319,0.0613180044140361,1.45210580805448,0.148348348627233,"prop_miss_SDG1"
"democratization",0.013307915158845,0.0519117285467288,0.256356617885798,0.797991009461566,"prop_miss_SDG1"
"backsliding",0.36088033030856,0.114630293036877,3.14821083282465,0.0019461775525318,"prop_miss_SDG2"
"democratization",0.0202642104251971,0.108153672600737,0.187364977424346,0.851601926002087,"prop_miss_SDG2"
"backsliding",0.0675525014773677,0.0294666169376657,2.29250957516669,0.0231239839099387,"prop_miss_SDG3"
"democratization",0.0236379022891763,0.038372196682585,0.616016395535266,0.538722414822798,"prop_miss_SDG3"
"backsliding",0.229428829878979,0.18731306487458,1.22484157756213,0.222359770640138,"prop_miss_SDG4"
"democratization",0.180054690131455,0.150857427339331,1.19354209671394,0.234349894287238,"prop_miss_SDG4"
"backsliding",0.0874703979692489,0.0624575800199659,1.40047689874131,0.163225800368105,"prop_miss_SDG5"
"democratization",0.0609181449787259,0.0710994383553115,0.856802056217297,0.39278209850543,"prop_miss_SDG5"
"backsliding",-0.0204885319676021,0.0678398736810389,-0.302013120837054,0.763017847048309,"prop_miss_SDG6"
"democratization",-0.00468656054668753,0.0610459707458049,-0.0767710053494332,0.938897614635775,"prop_miss_SDG6"
"backsliding",-0.00612958550453344,0.00628538128606475,-0.975212994337078,0.330865118566575,"prop_miss_SDG7"
"democratization",0.00375989796699435,0.00370224847626037,1.01557148071061,0.311302573636725,"prop_miss_SDG7"
"backsliding",-0.0457208608461878,0.0495271753224778,-0.923146950103522,0.357262478066738,"prop_miss_SDG8"
"democratization",-0.0186621814209089,0.0544032914304339,-0.343034050518294,0.73200426763758,"prop_miss_SDG8"
"backsliding",0.091272854747071,0.0624540665565294,1.46143973930755,0.145773861874143,"prop_miss_SDG9"
"democratization",0.0719210991862016,0.065232145130417,1.10254076487001,0.271812993417897,"prop_miss_SDG9"
"backsliding",0.127412012710714,0.300548296149801,0.423931908258793,0.672161021105889,"prop_miss_SDG10"
"democratization",-0.0387764019796118,0.332695036121632,-0.116552391137676,0.907354810779744,"prop_miss_SDG10"
"backsliding",-0.0727339561500028,0.0772643975298594,-0.941364437895141,0.347877849080229,"prop_miss_SDG11"
"democratization",0.0726178615625832,0.0755921389610011,0.960653615054439,0.338115188131549,"prop_miss_SDG11"
"backsliding",-0.00434515025760407,0.0411631208915647,-0.10555930074035,0.916058701899276,"prop_miss_SDG12"
"democratization",-0.0852009300436432,0.0522545251170691,-1.63049859993488,0.104880739685307,"prop_miss_SDG12"
"backsliding",0.0651031288064362,0.0799898746194263,0.813892122173989,0.416865724090019,"prop_miss_SDG13"
"democratization",0.051357403346361,0.112779079148803,0.455380587729386,0.649426965270754,"prop_miss_SDG13"
"backsliding",-0.186110737993953,0.175422485918162,-1.06092863192451,0.290254255463686,"prop_miss_SDG14"
"democratization",0.109980967727648,0.179698574780323,0.61203027270582,0.541350098905701,"prop_miss_SDG14"
"backsliding",0.0143073378328853,0.07351352725853,0.19462183854367,0.845925564461214,"prop_miss_SDG15"
"democratization",-0.0258227629524398,0.0693421599521669,-0.372396287774316,0.710069979014204,"prop_miss_SDG15"
"backsliding",0.00561411563591842,0.126113159687678,0.0445164933605809,0.964545889817509,"prop_miss_SDG16"
"democratization",0.047482435393523,0.138346775574571,0.343213169922629,0.731869767427854,"prop_miss_SDG16"
"backsliding",0.0895617414068851,0.056956753795806,1.572451648631,0.117738505280255,"prop_miss_SDG17"
"democratization",-0.0717117457484017,0.0732594469590381,-0.978873697865863,0.329058297163933,"prop_miss_SDG17"
